POLY_ID,Latitude,Longitude,Arithmetic Mean,Parameter Name,CL
"1",39.739443999999999,-75.558055999999993,9.337774000000000,Nitrogen dioxide (NO2),"1"
"2",39.371679000000000,-76.746814000000001,14.321032000000001,Nitrogen dioxide (NO2),"1"
"3",39.310833000000002,-76.474444000000005,8.929007000000000,Nitrogen dioxide (NO2),"1"
"4",39.705950000000001,-79.012000000000000,1.889317000000000,Nitrogen dioxide (NO2),"4"
"5",39.143129999999999,-76.846109999999996,15.767804999999999,Nitrogen dioxide (NO2),"1"
"6",39.055276999999997,-76.878332999999998,6.267273000000000,Nitrogen dioxide (NO2),"4"
"7",39.297733000000001,-76.604602999999997,12.397046000000000,Nitrogen dioxide (NO2),"1"
"8",40.853549999999998,-73.966179999999994,15.439556000000000,Nitrogen dioxide (NO2),"3"
"9",39.934559000000000,-75.125219000000001,11.407667000000000,Nitrogen dioxide (NO2),"1"
"10",39.422272999999997,-75.025204000000002,6.304367000000000,Nitrogen dioxide (NO2),"1"
"11",40.720989000000003,-74.192892000000001,14.400035000000001,Nitrogen dioxide (NO2),"3"
"12",40.670250000000003,-74.126080999999999,15.009487000000000,Nitrogen dioxide (NO2),"3"
"13",40.731645000000000,-74.066308000000006,16.718204000000000,Nitrogen dioxide (NO2),"3"
"14",40.462181999999999,-74.429439000000002,8.185153000000000,Nitrogen dioxide (NO2),"1"
"15",40.787627999999998,-74.676300999999995,3.056114000000000,Nitrogen dioxide (NO2),"1"
"16",40.641440000000003,-74.208365000000001,19.212069000000000,Nitrogen dioxide (NO2),"3"
"17",40.924579999999999,-75.067814999999996,10.140658999999999,Nitrogen dioxide (NO2),"1"
"18",40.816000000000003,-73.902000000000001,15.206163000000000,Nitrogen dioxide (NO2),"3"
"19",40.867899999999999,-73.878090000000000,12.638769999999999,Nitrogen dioxide (NO2),"1"
"20",42.876907000000003,-78.809526000000005,8.243366999999999,Nitrogen dioxide (NO2),"2"
"21",42.921106999999999,-78.765825000000007,9.469881000000001,Nitrogen dioxide (NO2),"2"
"22",43.145012999999999,-77.557280000000006,6.523997000000000,Nitrogen dioxide (NO2),"2"
"23",40.736139999999999,-73.821529999999996,13.020318000000000,Nitrogen dioxide (NO2),"3"
"24",40.739263999999999,-73.817694000000003,14.946985000000000,Nitrogen dioxide (NO2),"3"
"25",40.961016999999998,-73.139045999999993,3.413007000000000,Nitrogen dioxide (NO2),"1"
"26",39.920020000000001,-77.309680000000000,2.111672000000000,Nitrogen dioxide (NO2),"4"
"27",40.617488000000002,-79.727664000000004,5.059528000000000,Nitrogen dioxide (NO2),"2"
"28",40.437429999999999,-79.863572000000005,9.680972000000001,Nitrogen dioxide (NO2),"2"
"29",40.747796000000001,-80.316441999999995,7.883596000000000,Nitrogen dioxide (NO2),"2"
"30",41.705226000000003,-76.512726000000001,2.700650000000000,Nitrogen dioxide (NO2),"4"
"31",40.309722000000001,-78.915000000000006,5.769854000000000,Nitrogen dioxide (NO2),"2"
"32",40.811388999999998,-77.877027999999996,3.412306000000000,Nitrogen dioxide (NO2),"4"
"33",39.835555999999997,-75.372500000000002,9.486446000000001,Nitrogen dioxide (NO2),"1"
"34",42.141750000000002,-80.038611000000003,5.394353000000000,Nitrogen dioxide (NO2),"2"
"35",39.917662999999997,-79.805498999999998,2.986880000000000,Nitrogen dioxide (NO2),"4"
"36",41.442777999999997,-75.623056000000005,9.336007000000000,Nitrogen dioxide (NO2),"1"
"37",40.628056000000001,-75.341110999999998,8.417769000000000,Nitrogen dioxide (NO2),"1"
"38",39.991388999999998,-75.080832999999998,11.387503000000001,Nitrogen dioxide (NO2),"1"
"39",40.054170999999997,-74.985166000000007,14.361758999999999,Nitrogen dioxide (NO2),"1"
"40",39.988841999999998,-75.207205000000002,11.933038000000000,Nitrogen dioxide (NO2),"1"
"41",41.644722000000002,-76.939166999999998,1.043199000000000,Nitrogen dioxide (NO2),"4"
"42",40.146667000000001,-79.902221999999995,6.626281000000000,Nitrogen dioxide (NO2),"2"
"43",40.268962999999999,-80.243994999999998,2.792018000000000,Nitrogen dioxide (NO2),"4"
"44",39.965277999999998,-76.699444000000000,8.231472000000000,Nitrogen dioxide (NO2),"1"
